steamId,name,premier_rating,match_kills,match_deaths,match_kd_ratio,match_leetify_rating,match_damage,match_rounds_count,aim,positioning,utility,clutch,opening,ct_leetify,t_leetify,accuracy_enemy_spotted,accuracy_head,counter_strafing_good_shots_ratio,ct_opening_aggression_success_rate,ct_opening_duel_success_percentage,flashbang_hit_foe_avg_duration,flashbang_hit_foe_per_flashbang,flashbang_hit_friend_per_flashbang,flashbang_leading_to_kill,flashbang_thrown,he_foes_damage_avg,he_friends_damage_avg,preaim,reaction_time_ms,spray_accuracy,t_opening_aggression_success_rate,t_opening_duel_success_percentage,traded_deaths_success_percentage,trade_kill_opportunities_per_round,trade_kills_success_percentage,utility_on_death_avg
76561198002067206,Angry Bacon,10000,15,16,0.94,0.0209,1816,23,28.4339,54.3795,70.184,0.1387,0.0146,-0.0005,0.0127,33.2773,10.367,78.766,27.571,42.0833,2.8119,0.7384,0.348,26.0614,10.2422,13.6237,0.3725,14.9733,703.2676,32.2648,43.3319,56.5574,55.2712,0.2681,43.8805,459.873
76561198187143095,LogsAndFrogs,11393,15,18,0.83,-0.0482,1793,23,76.7305,60.642,39.6588,0.1575,0.0131,0.0281,0.0545,36.0011,20.9562,75.4311,32.8851,40.3715,2.314,0.6498,0.3584,0.0,4.3365,9.0155,0.7367,9.6453,587.6667,39.4516,46.3903,55.1676,45.7792,0.3625,48.4808,529.6826
76561198965104952,sonic,11199,9,11,0.82,-0.0197,954,19,69.8468,44.8283,46.5893,0.1025,-0.0132,0.0077,-0.007,31.0241,31.8601,84.0167,34.0954,40.173,2.7959,0.6136,0.5027,9.0712,9.5413,10.2467,1.0989,10.7292,709.2593,29.1295,37.4126,40.3876,46.6678,0.2804,36.5628,223.5964
76561198154250531,Obi Juan Kenobi,11338,10,13,0.77,-0.0166,1223,19,62.1719,46.0172,31.5109,0.1598,0.0172,0.0103,0.0214,35.845,15.8812,76.4208,33.624,46.4653,0.6192,0.2909,0.1079,0.0,0.5222,10.3094,0.0075,9.9918,668.7444,38.8108,37.0054,42.5239,42.4343,0.2658,40.7962,447.5857
76561199368592857,Cap,10502,19,12,1.58,0.0558,2030,18,87.8999,49.6011,68.5465,0.1944,0.0341,0.0504,0.0641,40.2406,19.4666,84.6969,39.6328,51.6347,2.8868,0.6195,0.3343,4.4405,15.3491,7.3261,0.344,10.4334,571.1197,43.7074,36.1298,41.6948,48.5311,0.2526,41.0803,217.1788
76561197960452834,Wolf Greyson,10318,9,17,0.53,-0.0134,1057,18,18.406,47.2097,63.0334,0.1337,-0.0287,-0.0099,-0.0095,28.7817,12.1585,59.828,32.0635,37.8056,2.6331,0.6435,0.4688,3.9478,17.8605,8.1776,0.0915,12.9703,664.683,34.0787,27.879,29.226,54.929,0.3365,41.7987,163.6339
76561199559866783,swtch,10000,18,25,0.72,-0.059,2193,30,55.9618,54.3795,58.0973,0.1433,-0.0159,0.0068,-0.0056,33.0298,13.644,79.5752,40.7676,50.4089,2.6108,0.638,0.3968,4.466,9.2908,9.3864,0.2879,10.0887,647.7288,34.4234,19.8527,26.7154,48.2586,0.4193,44.0664,326.5605
76561198334365517,dank rat,10638,14,22,0.64,-0.0927,1773,24,45.2242,34.0903,54.0725,0.0808,-0.0301,-0.029,-0.0369,28.3391,18.6395,80.2761,24.6551,41.5604,2.6879,0.443,0.2565,3.4054,7.8806,7.002,0.5815,10.1104,680.1799,26.2075,18.9224,23.7314,42.8656,0.2666,43.8446,194.7325
76561198359718173,BigVagMuncher,10940,15,15,1.0,0.0103,1774,24,62.5516,59.0954,32.9665,0.1062,-0.0234,0.0148,0.0083,35.5372,10.2529,75.8694,39.5484,45.0668,1.1611,0.2479,0.2852,1.9154,2.6806,11.9762,0.2159,9.3594,588.6355,38.1962,31.0896,33.0127,58.7055,0.3661,48.6653,418.9197
76561198991079505,FODS Gaming,10887,17,15,1.13,0.0239,2254,24,52.3922,50.7978,62.5417,0.1257,-0.0128,-0.0196,0.0381,31.8608,14.2872,83.1011,28.9547,38.4013,2.6897,0.5829,0.3533,10.2866,9.966,6.1347,1.3596,10.8932,658.8055,31.7734,41.4212,41.4212,55.0673,0.2861,44.8819,299.7504
76561198101578883,jīn shé (金蛇),11213,18,26,0.69,0.001,2297,30,64.4309,40.5165,53.1209,0.1486,-0.0353,0.0116,0.0151,38.3106,16.5,76.8964,22.7521,34.4898,2.5314,0.5803,0.1876,6.4049,4.5615,10.285,0.4365,10.8885,653.4243,36.5318,31.6379,36.4879,50.6249,0.2554,44.9295,445.7382
76561198123361190,✪ Dibs,11400,21,13,1.62,0.0639,1785,21,82.6391,58.3166,39.8064,0.1508,0.0383,0.019,0.0369,39.72,19.1403,83.7417,40.4294,52.1309,2.4758,0.57,0.3549,3.9949,5.2199,6.1677,1.8368,10.5906,625.0,42.7339,44.453,50.2947,52.4298,0.2466,49.6729,273.1426
76561199245394318,Jeff,10244,15,10,1.5,0.0268,1402,19,49.6011,41.6834,48.273,0.1411,-0.0028,0.0109,0.0179,30.6692,19.6441,77.1948,29.6543,41.4739,2.2975,0.6778,0.6231,6.3628,7.4031,5.9257,1.0964,10.8553,678.4728,31.0534,13.2653,19.7279,50.7811,0.3499,44.2721,270.9728
76561199092343862,farmer phrog,11334,9,14,0.64,-0.0308,1133,21,54.7758,46.0172,56.5918,0.1094,-0.0161,-0.0007,-0.014,34.8485,14.5346,77.7314,38.6432,46.4415,2.4764,0.5141,0.3687,4.7844,14.0156,7.3226,0.5359,12.1897,635.3663,36.472,25.6655,29.6235,45.3643,0.3152,42.5079,320.8976
76561198156042986,G,10540,7,2,3.5,0.0858,574,12,43.2505,42.4655,30.5071,0.1076,-0.011,-0.0112,-0.0219,30.4622,11.6595,72.5144,29.6981,47.4759,1.5998,0.3019,0.2268,1.1095,1.7557,8.0079,0.423,8.3295,647.6359,30.2424,23.6245,24.5954,42.3301,0.3555,38.0756,236.6472
76561199252264867,DoodieDylan,10908,18,16,1.13,0.0375,2180,22,43.2505,50.3989,65.9455,0.0922,0.0214,-0.0238,-0.0079,30.5819,14.5566,73.2422,34.4842,51.9539,3.1169,0.7173,0.2262,10.2506,6.6961,14.6622,0.3114,10.7924,642.1176,32.7674,44.167,53.4264,45.163,0.2314,40.3983,307.5114
76561198017325054,kid named paint,11677,12,14,0.86,-0.0134,1319,18,53.5856,48.0061,58.3075,0.1529,0.0035,0.0197,0.028,35.7099,16.6153,72.921,32.7206,39.406,2.7481,0.531,0.4189,6.6071,11.1284,10.8769,0.4957,10.4892,689.3692,36.2665,40.0376,47.3679,47.9206,0.2428,45.9164,311.7111
